COUNTRY,alias
Bosnia & Herzegovina,Bosnia
Brunei Darussalam,Brunei
China*,China
Congo,Congo - Brazzaville
Congo D.R.,Congo - Kinshasa
Diego Garcia,British Indian Ocean Territory
Cote dIvoire,Côte d’Ivoire
Laos PDR,Laos
Netherlands Antilles,Caribbean Netherlands
Palestinian Territory,Palestine
Reunion,Réunion
Sao Tome & Principe,São Tomé & Príncipe
St Kitts & Nevis,St. Kitts & Nevis
St Lucia,St. Lucia
St Vincent & the Grenadines,St. Vincent & Grenadines
United Kingdom,UK
United States,US
Virgin Islands British,British Virgin Islands
